id,description,categories,model,name,brand,url,avatar,image_additional1,image_additional2,image_additional3,image_additional4,price_b2c,price_b2b,TVA,quantity,gen,greutate,latime,lungime,varsta
23149,"Set Magfomers cu 40 de piese cu magnet, de forme si culori diferite, cu ajutorul carora copiii pot sa contruiasca animale 3D. Posibilitatile si distractia sunt nelimitate, asa ca cei mici pot sa isi lase imaginatia libera si creativitatea lor va prinde cat mai multe forme. Acest set este conceput special pentru cei mici, astfel ca stivuind piesele, maniera cea mai simpla de a utiliza Magformers, ei pot obtine forme usor de recunoscut si asociat cu niste animalute prietenoase. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +18 luni. AVERTISMENT! Contraindicat copiilor sub 18 luni. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De Bebe||Outlet %","clic-702014","Set magnetic de construit- Magformers Animale, 40 piese","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-de-construit-magformers-animale-40-piese-2485","https://cdnmpro.com/708224949/p/raw/6/set-magnetic-de-construit-magformers-animale-40-piese~5226.jpg","https://cdnmpro.com/708224949/p/raw/7/set-magnetic-de-construit-magformers-animale-40-piese~5557.jpg","https://cdnmpro.com/708224949/p/raw/8/set-magnetic-de-construit-magformers-animale-40-piese~5558.jpg","https://cdnmpro.com/708224949/p/raw/9/set-magnetic-de-construit-magformers-animale-40-piese~5559.jpg","https://cdnmpro.com/708224949/p/raw/0/set-magnetic-de-construit-magformers-animale-40-piese~5560.jpg",251,,"tva21",5,"Baiat, Fata","1 kg",,"27 cm","1 - 3"
51143,"Set Magformers cu 26 de piese cu magnet, de formă pătrată și triunghiulară, cu ajutorul cărora copiii pot să contruiască orice vehicule doresc; setul conține și roți pentru vehicule și o figurină polițist. Posibilitățile și distracția sunt nelimitate, așa că cei mici pot să își lase imaginația liberă și creativitatea lor va prinde cât mai multe forme. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit||Outlet %","clic-717001","Set magnetic de construit- Magformers, masini de interventie","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-de-construit-magformers-masini-de-interventie-2645","https://cdnmpro.com/708224949/p/raw/6/set-magnetic-de-construit-magformers-masini-de-interventie~5706.jpg","https://cdnmpro.com/708224949/p/raw/2/set-magnetic-de-construit-magformers-masini-de-interventie~6072.jpg","https://cdnmpro.com/708224949/p/raw/3/set-magnetic-de-construit-magformers-masini-de-interventie~6073.jpg","https://cdnmpro.com/708224949/p/raw/4/set-magnetic-de-construit-magformers-masini-de-interventie~6074.jpg","https://cdnmpro.com/708224949/p/raw/5/set-magnetic-de-construit-magformers-masini-de-interventie~6075.jpg",286,,"tva21",2,"","0.3 kg",,"26.5 cm","3 - 6, 6 - 9"
51150,"Set Magformers cu 30 de piese cu magnet, de formă pătrată și triunghiulară, cu ajutorul cărora copiii pot să contruiască orice modele doresc. Posibilitățile și distracția sunt nelimitate, așa că cei mici pot să își lase imaginația liberă și creativitatea lor va prinde cât mai multe forme. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit||Outlet %","clic-701005","Set magnetic de construit- Magformers, 30 piese","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-de-construit-magformers-30-piese-2646","https://cdnmpro.com/708224949/p/raw/7/set-magnetic-de-construit-magformers-30-piese~5707.jpg","https://cdnmpro.com/708224949/p/raw/9/set-magnetic-de-construit-magformers-30-piese~6079.jpg","https://cdnmpro.com/708224949/p/raw/0/set-magnetic-de-construit-magformers-30-piese~6080.jpg","https://cdnmpro.com/708224949/p/raw/1/set-magnetic-de-construit-magformers-30-piese~6081.jpg","https://cdnmpro.com/708224949/p/raw/2/set-magnetic-de-construit-magformers-30-piese~6082.jpg",301,,"tva21",3,"Baiat, Fata","0.5 kg",,"29 cm","3 - 6, 6 - 9"
51223,"Set Clicformers cu 30 de piese, cu ajutorul cărora poți construi modele de insecte cu care cei mici se pot împrieteni, sunt utile în grădină și la joacă! Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Clicformers înseamnă mai mult decât o simplă jucărie. Sub sloganul „Let’s Click & Play”, Clicformers reunește piese și accesorii pentru construit, dezvoltând îndemânarea, creativitatea și imaginația. Clicformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Utilizând patru metode de combinație unice - CLICK, STACK, FOLD, HOOK, Clicformers permite copiilor să creeze aproape orice își imaginează. Clicformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate și diverse accesorii care aduc un plus de distracție. Culorile asortate ale acestor componente ajută la creșterea simțul estetic al copiilor. Vârsta recomandată: +4 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit","clic-804005","Set de construit Clicformers- Insecte, 30 piese","Clicstoys","https://www.boribon.ro/cumpara/set-de-construit-clicformers-insecte-30-piese-2648","https://cdnmpro.com/708224949/p/raw/0/set-de-construit-clicformers-insecte-30-piese~5710.jpg","https://cdnmpro.com/708224949/p/raw/0/set-de-construit-clicformers-insecte-30-piese~6090.jpg","https://cdnmpro.com/708224949/p/raw/1/set-de-construit-clicformers-insecte-30-piese~6091.jpg","https://cdnmpro.com/708224949/p/raw/2/set-de-construit-clicformers-insecte-30-piese~6092.jpg","https://cdnmpro.com/708224949/p/raw/3/set-de-construit-clicformers-insecte-30-piese~6093.jpg",105,,"tva21",1,"Baiat, Fata","0.5 kg",,"31 cm","3 - 6, 6 - 9"
51226,"Set Magformers cu 30 de piese cu magnet, de formă pătrată și triunghiulară, cu ajutorul cărora copiii pot să contruiască orice modele doresc. Posibilitățile și distracția sunt nelimitate, așa că cei mici pot să își lase imaginația liberă și creativitatea lor va prinde cât mai multe forme. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit||Outlet %","clic-702001","Set magnetic de construit- Set de baza Magformers, 30 piese","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-de-construit-set-de-baza-magformers-30-piese-2649","https://cdnmpro.com/708224949/p/raw/1/set-magnetic-de-construit-set-de-baza-magformers-30-piese~5711.jpg","https://cdnmpro.com/708224949/p/raw/6/set-magnetic-de-construit-set-de-baza-magformers-30-piese~6096.jpg","https://cdnmpro.com/708224949/p/raw/7/set-magnetic-de-construit-set-de-baza-magformers-30-piese~6097.jpg","https://cdnmpro.com/708224949/p/raw/8/set-magnetic-de-construit-set-de-baza-magformers-30-piese~6098.jpg","https://cdnmpro.com/708224949/p/raw/9/set-magnetic-de-construit-set-de-baza-magformers-30-piese~6099.jpg",338,,"tva21",15,"Baiat, Fata","1 kg",,"28 cm","3 - 6, 6 - 9"
51263,"Joc de construit cu 20 de piese cu magnet, de diferite forme, culori și mărimi, cu ajutorul cărora cei mici pot construi orice poftesc! Piesele cu magnet incorporat trebuie doar să fie apropiate una de alta, și astfel se ~fixează~ și permit nenumărate combinații. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, jucariile cu magneti Stick-O au fost concepute special pentru cei mici. Stick-O reunește piese și accesorii pentru construit, dezvoltând îndemânarea, creativitatea și imaginația, inca de la cele mai mici varste. Oferă piese de bază simple, cu un nivel ridicat de aplicabilitate și diverse accesorii care aduc un plus de distracție. Culorile asortate ale acestor componente ajută la creșterea simțul estetic al copiilor. Siguranta este insa pe primul loc, astfel ca magnetii sunt incastrati in interiorul pieselor, fiind evitat riscul de a fi inghititi. Inedit este si faptul ca magnetii sunt pozitionati astfel incat se pot roti automat, pentru a respecta polaritatea necesara atragerii si ~lipirii~ pieselor, indiferent de cum sunt apropiate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. Contine magneti! A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De Bebe||Outlet %","clic-901002","Joc cu magneti Stick-O, Set de baza cu 20 piese","Clicstoys","https://www.boribon.ro/cumpara/joc-cu-magneti-stick-o-set-de-baza-cu-20-piese-2650","https://cdnmpro.com/708224949/p/raw/3/joc-cu-magneti-stick-o-set-de-baza-cu-20-piese~5713.jpg","https://cdnmpro.com/708224949/p/raw/3/joc-cu-magneti-stick-o-set-de-baza-cu-20-piese~6103.jpg","https://cdnmpro.com/708224949/p/raw/4/joc-cu-magneti-stick-o-set-de-baza-cu-20-piese~6104.jpg","https://cdnmpro.com/708224949/p/raw/5/joc-cu-magneti-stick-o-set-de-baza-cu-20-piese~6105.jpg","https://cdnmpro.com/708224949/p/raw/6/joc-cu-magneti-stick-o-set-de-baza-cu-20-piese~6106.jpg",250,,"tva21",5,"","0.6 kg",,"22 cm","3 - 6"
57309,"Manere detasabile pentru carucior Clictoys propune o solutie igienica pentru manipularea carucioarelor, utilizand aceste manere care se potrivesc la mai multe tipuri de carucioare (diferite supermarketuri). Se fixeaza usor, le iei cand pleci si le speli cand ajungi acasa. Merg mana in mana cu sacosele refolosibile, pentru o atitudine ecologica. Set cu 2 bucăți. Producător: Clics toys, Belgia.","Accesorii||Outlet %","clic_CL008","Manere detasabile pentru carucior, Clicstoys","Clicstoys","https://www.boribon.ro/cumpara/manere-detasabile-pentru-carucior-clicstoys-2786","https://cdnmpro.com/708224949/p/raw/7/manere-detasabile-pentru-carucior-clicstoys~6217.jpg","https://cdnmpro.com/708224949/p/raw/5/manere-detasabile-pentru-carucior-clicstoys~6515.jpg","https://cdnmpro.com/708224949/p/raw/6/manere-detasabile-pentru-carucior-clicstoys~6516.jpg","https://cdnmpro.com/708224949/p/raw/7/manere-detasabile-pentru-carucior-clicstoys~6517.jpg","",25,,"tva21",43,"Baiat, Fata","0.4 kg",,"25 cm","6 - 9, 9+"
57326,"Set Magformers cu piese cu magnet, de formă pătrată și triunghiulară, cu ajutorul cărora copiii pot să contruiască orice modele doresc, vehicule de pe șantier, construcții, sau orice îți imaginează. Posibilitățile și distracția sunt nelimitate, așa că cei mici pot să își lase imaginația liberă și creativitatea lor va prinde cât mai multe forme. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit||Outlet %","clic_717004","Set magnetic Magformers, Uimitorul set de construit pe santier","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-magformers-uimitorul-set-de-construit-pe-santier-2787","https://cdnmpro.com/708224949/p/raw/0/set-magnetic-magformers-uimitorul-set-de-construit-pe-santier~6220.jpg","https://cdnmpro.com/708224949/p/raw/8/set-magnetic-magformers-uimitorul-set-de-construit-pe-santier~6518.jpg","https://cdnmpro.com/708224949/p/raw/9/set-magnetic-magformers-uimitorul-set-de-construit-pe-santier~6519.jpg","https://cdnmpro.com/708224949/p/raw/0/set-magnetic-magformers-uimitorul-set-de-construit-pe-santier~6520.jpg","https://cdnmpro.com/708224949/p/raw/1/set-magnetic-magformers-uimitorul-set-de-construit-pe-santier~6521.jpg",418,,"tva21",12,"Baiat, Fata","1.5 kg",,"29 cm","3 - 6, 6 - 9"
57333,"Set Magformers cu piese cu magnet, de formă pătrată și triunghiulară, cu ajutorul cărora copiii pot să contruiască orice modele doresc, vehicule de pe șantier, construcții, sau orice îți imaginează. Posibilitățile și distracția sunt nelimitate, așa că cei mici pot să își lase imaginația liberă și creativitatea lor va prinde cât mai multe forme. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit||Outlet %","clic_717003","Set magnetic Magformers, Uimitorul set cu vehicule de interventie","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-magformers-uimitorul-set-cu-vehicule-de-interventie-2788","https://cdnmpro.com/708224949/p/raw/3/set-magnetic-magformers-uimitorul-set-cu-vehicule-de-interventie~6223.jpg","https://cdnmpro.com/708224949/p/raw/5/set-magnetic-magformers-uimitorul-set-cu-vehicule-de-interventie~6525.jpg","https://cdnmpro.com/708224949/p/raw/6/set-magnetic-magformers-uimitorul-set-cu-vehicule-de-interventie~6526.jpg","https://cdnmpro.com/708224949/p/raw/7/set-magnetic-magformers-uimitorul-set-cu-vehicule-de-interventie~6527.jpg","https://cdnmpro.com/708224949/p/raw/8/set-magnetic-magformers-uimitorul-set-cu-vehicule-de-interventie~6528.jpg",418,,"tva21",6,"Baiat, Fata","1.2 kg",,"29 cm","3 - 6, 6 - 9"
57335,"Set Magformers cu piese cu magnet, de formă pătrată și triunghiulară, cu ajutorul cărora copiii pot să contruiască orice modele doresc, vehicule de pe șantier, construcții, sau orice îți imaginează. Posibilitățile și distracția sunt nelimitate, așa că cei mici pot să își lase imaginația liberă și creativitatea lor va prinde cât mai multe forme. Proiectate și dezvoltate de specialiști de la „Magformers” - liderul global în domeniul jocului de construit cu magnet, și „Clics” - marcă de jucării cu renume în Belgia, Magformers înseamnă mai mult decât o simplă jucărie. Magformers reunește piese și accesorii pentru construit cu magneți, dezvoltând îndemânarea, creativitatea și imaginația. Magformers este o jucărie de construcție pentru fiecare copil, un mod inedit de a îmbina piesele, garantând pentru calitate și diversitate. Magformers oferă piese de bază simple, cu un nivel ridicat de aplicabilitate, dezvoltându-și îndemânarea, înțelegând spațialitatea și geometria. Siguranța este esențială, așadar piesele cu magnet sunt sigure pentru cei mici! Magneții sunt încapsulați în interiorul pieselor, pe toate laturile lor, și poziționati astfel încât polii lor să se atragă, indiferent de modul în care piesele sunt apropiate, ceea ce este un avantaj inedit! Piesele Magformers se pot apropia pentru a construi apoi prin pliere, combinarea de mai multe părți, îndoirea sau extensia unor laturi, astfel că posibilitățile sunt nelimitate. Vârsta recomandată: +3 ani. AVERTISMENT! Contraindicat copiilor sub 3 ani. A se folosi sub directa supraveghere a unei persoane adulte. Producător: Clics toys, Belgia.","De construit||Outlet %","clic_717002","Set magnetic Magformers, Uimitorul set de politie","Clicstoys","https://www.boribon.ro/cumpara/set-magnetic-magformers-uimitorul-set-de-politie-2789","https://cdnmpro.com/708224949/p/raw/7/set-magnetic-magformers-uimitorul-set-de-politie~6227.jpg","https://cdnmpro.com/708224949/p/raw/2/set-magnetic-magformers-uimitorul-set-de-politie~6532.jpg","https://cdnmpro.com/708224949/p/raw/3/set-magnetic-magformers-uimitorul-set-de-politie~6533.jpg","https://cdnmpro.com/708224949/p/raw/4/set-magnetic-magformers-uimitorul-set-de-politie~6534.jpg","https://cdnmpro.com/708224949/p/raw/5/set-magnetic-magformers-uimitorul-set-de-politie~6535.jpg",418,,"tva21",5,"Baiat, Fata","1.2 kg",,"29 cm","3 - 6, 6 - 9"
