launch_role,sku,title,vendor,product_type,age_range,supplier_price_b2c_ron,supplier_price_b2b_ron,supplier_qty,weight_kg,length_cm,width_cm,skills,short_angle_ro,key_benefits,description,main_image,image_urls,supplier_url,bundle_theme,bundle_discount,bundle_items
HERO,4048962424614,"Kit STEM Masina alimentata cu hidrogen, Fischertechnik",Fischertechnik,Robotics/Coding,9+,669.0,,12,,,,"coding,logică,algoritmi,rezolvare de probleme","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM Masina alimentata cu hidrogen, Kit de constructie cu tehnologie avansata Hidrogenul și pilele de combustie - una dintre cele mai promițătoare tehnologii energetice și un subiect cu care industria auto se ocupă de ceva timp. Un lucru este clar - avem nevoie de energii alternative care vor înlocui în cele din urmă combustibilii fosili. Copiii au ocazia să abordeze acest subiect important într-un stadiu incipient, descoperind astfel lucruri interesante în domeniul energiilor alternative. Kit pentru a construi o mașină cu pile de combustie și a o pune apoi în mișcare cu ajutorul hidrogenului. Întrebărilor precum ""Cum funcționează o pila de combustie cu hidrogen și cum poate fi produs hidrogenul?"" le sunt oferite răspunsuri simple și ușor de înțeles prin intermediul modelului practic. Folosind electrolizorul celulei de combustie reversibilă, de exemplu, se poate observa cum se pot obține hidrogen și oxigen din apă, care, la rândul lor, asigură generarea de energie electrică și conducerea fără emisii. Instrucțiuni de asamblare pentru a construi un model de motor alimentat cu hidrogen. Conține 117 de piese. Bloc de alimentare de 3V inclus. Vârsta recomandată: +9 ani. Joc premiat TOP 10 jucării 2021 Confecționat din plastic. Conform reglementarilor EN71&ASTM.AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in Germania de Fischertechnik. Manula Kit STEM Masina alimentata cu hidrogen, Fischertechnik - descarca fisier",https://cdnmpro.com/708224949/p/raw/5/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik~12095.jpg,https://cdnmpro.com/708224949/p/raw/5/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik~12095.jpg|https://cdnmpro.com/708224949/p/raw/6/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik~12096.jpg|https://cdnmpro.com/708224949/p/raw/7/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik~12097.jpg|https://cdnmpro.com/708224949/p/raw/8/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik~12098.jpg|https://cdnmpro.com/708224949/p/raw/9/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik~12099.jpg,https://www.boribon.ro/cumpara/kit-stem-masina-alimentata-cu-hidrogen-fischertechnik-4395,Robotics Starter Pack,10%,"Kit STEM de construit motoare si generatoare, Thames & Kosmos (0814743010390); Kit STEM Incarcator frontal de asamblat si manevrat, Fischertechnik (4048962549300); Kit STEM Set volumetric, Genius Toy (4716503310442)"
HERO,4048962424706,"Kit STEM Introducere in programarea roboților, Fischertechnik",Fischertechnik,Robotics/Coding,"3 - 6, 6 - 9, 9+",758.0,,14,,,,"coding,logică,algoritmi,rezolvare de probleme","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM Introducere in programarea roboților Învață să scrii propriul program care să dea viață unui robot! Această tehnologie este esențială pentru viitorii programatori și ingineri IT. Kitul Early Coding este alegerea potrivită pentru a-i învăța chiar și pe cei mai tineri pasionați de lumea IT și robotică. Cele două motoare și senzori sunt complet integrate într-un bloc. Asta înseamnă că tot ce trebuie să facă utilizatorii este să le pornească, să se conecteze prin Bluetooth folosind un dispozitiv mobil și să înceapă! Mediul simplu de programare grafică cu exemple pre-proiectate este construit pentru a fi adecvat vârstei. De asemenea, tinerii programatori își pot crea cu siguranță propriile module folosind sistemul robotilor. Instrucțiuni de asamblare pentru a construi 3 modele simple de roboți. Conține 33 de piese. Vârsta recomandată: +5 ani. Confecționat din plastic. Conform reglementarilor EN71&ASTM.AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in Germania de Fischertechnik.",https://cdnmpro.com/708224949/p/raw/0/kit-stem-introducere-in-programarea-robotilor-fischertechnik~12170.jpg,https://cdnmpro.com/708224949/p/raw/0/kit-stem-introducere-in-programarea-robotilor-fischertechnik~12170.jpg|https://cdnmpro.com/708224949/p/raw/1/kit-stem-introducere-in-programarea-robotilor-fischertechnik~12171.jpg|https://cdnmpro.com/708224949/p/raw/2/kit-stem-introducere-in-programarea-robotilor-fischertechnik~12172.jpg|https://cdnmpro.com/708224949/p/raw/3/kit-stem-introducere-in-programarea-robotilor-fischertechnik~12173.jpg|https://cdnmpro.com/708224949/p/raw/4/kit-stem-introducere-in-programarea-robotilor-fischertechnik~12174.jpg,https://www.boribon.ro/cumpara/kit-stem-introducere-in-programarea-robotilor-fischertechnik-4400,Robotics Starter Pack,10%,"Kit STEM Proiector Planetarium, Thames & Kosmos (0814743017931); Kit STEM Anatomia corpului uman, Thames & Kosmos (5060282510746); Kit STEM Calendarul stiintific de Advent, Thames & Kosmos (0658606787643)"
HERO,4048962492774,"Kit STEM Roboti inteligenti Pro, Fischertechnik",Fischertechnik,Robotics/Coding,"6 - 9, 9+",1233.0,,9,,,,"coding,logică,algoritmi,rezolvare de probleme","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM Roboti inteligenti Pro, Invata cum sa programezi roboti Smart Robots Pro este pachetul complet pentru inițierea copiilor cu vârsta de peste 8 ani în domeniul programării. Tinerii programatori pot construi 12 modele diferite. Fie că este vorba despre robotul mobil pentru detectarea obstacolelor, caruselul cu lumini intermitente, controlul temperaturii cu ventilator sau sistemul de alarmă, intrarea în lumea programării este garantată cu succes. Controlul prin intermediul BT Smart Controller cu patru intrări pentru senzori digitali și analogici și două ieșiri pentru motoare sau lămpi, are o interfață USB și Bluetooth 4.1 LE. Software-ul ROBO Pro Coding permite o programare rapidă, clară și ușor de înțeles a modelelor. Materialul didactic de însoțire sprijină procesul de învățare al copiilor și explică programarea într-un mod ușor de înțeles. Instrucțiuni de asamblare pentru a construi 12 modele simple de roboți. Conține 362 de piese. Vârsta recomandată: +8 ani. Confecționat din plastic. Conform reglementarilor EN71&ASTM.AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in Germania de Fischertechnik. Manual Kit STEM Smart Robots Pro, Fischertechnik - descarca aici fisierul",https://cdnmpro.com/708224949/p/raw/8/kit-stem-roboti-inteligenti-pro-fischertechnik~12178.jpg,https://cdnmpro.com/708224949/p/raw/8/kit-stem-roboti-inteligenti-pro-fischertechnik~12178.jpg|https://cdnmpro.com/708224949/p/raw/9/kit-stem-roboti-inteligenti-pro-fischertechnik~12179.jpg|https://cdnmpro.com/708224949/p/raw/0/kit-stem-roboti-inteligenti-pro-fischertechnik~12180.jpg|https://cdnmpro.com/708224949/p/raw/1/kit-stem-roboti-inteligenti-pro-fischertechnik~12181.jpg|https://cdnmpro.com/708224949/p/raw/2/kit-stem-roboti-inteligenti-pro-fischertechnik~12182.jpg,https://www.boribon.ro/cumpara/kit-stem-roboti-inteligenti-pro-fischertechnik-4401,Robotics Starter Pack,10%,"Kit STEM Curse nebunesti, Fischertechnik (4048962492750); Kit STEM Camion de santier de asamblat si manevrat, Fischertechnik (4048962549294); Set magnetic de construit 125 piese, Cleverclixx (6152121274274)"
HERO,6975007386140,"Joc STEM Microscop digital cu ecran integrat, TopBright",TopBright ScienceCan,Robotics/Coding,"3 - 6, 6 - 9, 9+",399.0,,33,,,,"coding,logică,algoritmi,rezolvare de probleme","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Joc STEM Microscop digital cu ecran integrat Cu o putere de 400× mărire, permite observarea celulelor, microorganismelor și detaliilor invizibile cu ochiul liber, direct pe ecran fără a fi nevoie de ochi‑ocular. Acest kit științific include tot ce are nevoie un mic cercetător: diapozitive pregătite, instrumente de laborator (pipetă, pensetă, eprubetă, Petri) și acces pentru salvarea imaginilor și a videoclipurilor observate. Prin port USB‑C sau card SD, copiii își pot transfera observațiile pe PC sau alte dispozitive. Setul include: microscop cu ecran, stație experimentală, pipetă, pensetă, eprubetă, vas Petri, container mic, 2 lamele dreptunghice goale, 2 lamele rotunde goale, 5 lamele cu probe, cablu USB‑C, card SD. Echipat cu acumulator - incarcare USB-C (5V - 1A) Dimensiune produs: 20,5 × 15,5 × 22,0 cm Vârsta recomandată: +8 ani. Confecționat din ABS, PC. Conform reglementarilor EN71&ASTM. AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință. Produs in China de TopBright Wisdom Information Technology pentru Topbright Gmbh, Germania. Manual Joc STEM Microscop digital cu ecran integrat, TopBright - descarca aici fisierul",https://cdnmpro.com/708224949/p/raw/9/joc-stem-microscop-digital-cu-ecran-integrat-topbright~100075009.jpg,https://cdnmpro.com/708224949/p/raw/9/joc-stem-microscop-digital-cu-ecran-integrat-topbright~100075009.jpg|https://cdnmpro.com/708224949/p/raw/0/joc-stem-microscop-digital-cu-ecran-integrat-topbright~100074460.jpg|https://cdnmpro.com/708224949/p/raw/3/joc-stem-microscop-digital-cu-ecran-integrat-topbright~100074463.jpg|https://cdnmpro.com/708224949/p/raw/6/joc-stem-microscop-digital-cu-ecran-integrat-topbright~100074466.jpg|https://cdnmpro.com/708224949/p/raw/9/joc-stem-microscop-digital-cu-ecran-integrat-topbright~100074469.jpg,https://www.boribon.ro/cumpara/joc-stem-microscop-digital-cu-ecran-integrat-topbright-8336,Robotics Starter Pack,10%,"Prima mea cutie cu jucarii, Speedy Monkey (0850047013392); Kit STEM Set Constructor, Fischertechnik (4048962458527); Kit STEM Telescop, Thames & Kosmos (5060282510432)"
HERO,4260771793396,"Set STEAM Laborator de chimie, TopBright",TopBright ScienceCan,Robotics/Coding,"6 - 9, 9+",349.0,,21,,,,"coding,logică,algoritmi,rezolvare de probleme","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Set STEAM Laboratorul de chimie al micilor oameni de știință Acest laborator le permite micilor exploratori să descopere și să experimenteze cu bulele într-un mod captivant și educativ. Cu 20 de carduri cu experimente și un manual detaliat, copiii pot realiza peste 100 de experimente care stimulează curiozitatea, gândirea critică și înțelegerea fenomenelor fizice și chimice legate lichide – cum ar fi formarea bulelor, tensiunea superficială, geometria, culorile și interacțiunea lor. Dimensiuni produs: 38 × 24,5 × 34 cm Toate componentele sunt fabricate din plastic ABS de calitate alimentară / polietilenă (sau alt tip), fără BPA, fără substanţe toxice. Se respectă standardele de siguranță EN71 și ASTM. Vârsta recomandată: +8 ani. AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință. Produs in China de TopBright Wisdom Information Technology pentru Topbright Gmbh, Germania Manual Set STEAM Laborator de chimie, TopBright - descarca aici fisierul",https://cdnmpro.com/708224949/p/raw/6/set-steam-laborator-de-chimie-topbright~100012876.jpg,https://cdnmpro.com/708224949/p/raw/6/set-steam-laborator-de-chimie-topbright~100012876.jpg|https://cdnmpro.com/708224949/p/raw/3/set-steam-laborator-de-chimie-topbright~100012873.jpg|https://cdnmpro.com/708224949/p/raw/9/set-steam-laborator-de-chimie-topbright~100012879.jpg|https://cdnmpro.com/708224949/p/raw/2/set-steam-laborator-de-chimie-topbright~100012882.jpg|https://cdnmpro.com/708224949/p/raw/5/set-steam-laborator-de-chimie-topbright~100012885.jpg,https://www.boribon.ro/cumpara/set-steam-laborator-de-chimie-topbright-8303,Robotics Starter Pack,10%,"Kit STEM Proiector Planetarium, Thames & Kosmos (0814743017931); Kit STEM Tractor de asamblat si manevrat, Fischertechnik (4048962549317); Kit STEM Masina de pompieri, Fischertechnik (4048962458565)"
HERO,4716503041612,"Kit STEM Roboti inteligenti, Genius Toy",Gigo Toys,Robotics/Coding,"6 - 9, 9+",692.0,,58,,,,"coding,logică,algoritmi,rezolvare de probleme","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM Roboti inteligenti - Roboți Programabili cu Senzori Ultrasonici și Conectivitate Bluetooth Descoperă lumea fascinantă a roboticii și programării cu acest kit educațional complet ce le permite copiilor să creeze, programeze și controleze roboți inteligenți cu ajutorul senzorilor și al tehnologiei Bluetooth. Senzorul ultrasonic din kit simulează funcționarea radarului, iar aplicația de programare vizuală le permite copiilor să creeze propriile comenzi și funcții personalizate. Conectarea se face ușor prin Bluetooth la smartphone sau tabletă, oferind o experiență interactivă completă. Setul include componente inteligente, cum ar fi tehnologia Bluetooth, un motor 40X cu structură planetară, o cutie de baterii cu activare prin mișcare, precum și acces la o aplicație vizuală de programare, ideală pentru introducerea în lumea codării. Necesită 3 baterii AA/LR6 – nu sunt incluse. Vărsta recomandată: +8 ani. Confecționat din plastic. Conform reglementarilor EN71&ASTM.AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in Taiwan de Genius Toy. Manual Kit STEM Roboti inteligenti, Genius Toy - descarca aici fisierul",https://cdnmpro.com/708224949/p/raw/2/kit-stem-roboti-inteligenti-genius-toy~100102612.jpg,https://cdnmpro.com/708224949/p/raw/2/kit-stem-roboti-inteligenti-genius-toy~100102612.jpg|https://cdnmpro.com/708224949/p/raw/5/kit-stem-roboti-inteligenti-genius-toy~100102615.jpg|https://cdnmpro.com/708224949/p/raw/8/kit-stem-roboti-inteligenti-genius-toy~100102618.jpg|https://cdnmpro.com/708224949/p/raw/1/kit-stem-roboti-inteligenti-genius-toy~100102621.jpg|https://cdnmpro.com/708224949/p/raw/4/kit-stem-roboti-inteligenti-genius-toy~100102624.jpg,https://www.boribon.ro/cumpara/kit-stem-roboti-inteligenti-genius-toy-8402,Robotics Starter Pack,10%,"Kit STEM Cursa cu obstacole Dynamic XM, Fischertechnik (4048962316247); Kit STEM Camion de santier de asamblat si manevrat, Fischertechnik (4048962549294); Set magnetic de construit 125 piese, Cleverclixx (6152121274274)"
HERO,0658606787650,"Kit STEM Construieste circuite electrice, Thames & Kosmos",Thames & Kosmos,Electronics/Circuits,"6 - 9, 9+",190.0,,20,,,,"circuite electrice,cauză-efect,gândire tehnică,experimente","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM Construieste circuite electrice Explorați știința electricității într-un mod distractiv și practic, construind 20 de circuite electrice și dispozitive motorizate. Efectuați experimente pentru a afla despre componente electrice și principii ale științei fizice. De la circuit la circuit, descoperiți diferitele efecte pe care curentul electric le are asupra motorului și a luminii LED. Sistemul inovator de construcție vă permite să asamblați cu ușurință circuitele prin cuplarea conectorilor, apoi să le despărțiți cu ușurință când este timpul să construiți următorul circuit. După ce ați învățat elementele de bază ale circuitelor, puteți construi cinci modele distractive, motorizate, care îndeplinesc funcții diferite și deosebit de interesante! Conține 64 piese, manual instrucțiuni și informații. Vârsta recomandată: +8 ani .Confecționat din plastic. Conform reglementarilor EN71&ASTM. Necesită 2 baterii AA.AVERTISMENT: Contraindicat copiilor sub 8 ani, conține piese mici, pericol de înghițire. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in Taiwan pentru Thames & Kosmos, Anglia. Manual Kit STEM Construieste circuite electrice - descarca fisier",https://cdnmpro.com/708224949/p/raw/7/kit-stem-construieste-circuite-electrice-thames-kosmos~100139007.jpg,https://cdnmpro.com/708224949/p/raw/7/kit-stem-construieste-circuite-electrice-thames-kosmos~100139007.jpg|https://cdnmpro.com/708224949/p/raw/0/kit-stem-construieste-circuite-electrice-thames-kosmos~100139010.jpg|https://cdnmpro.com/708224949/p/raw/3/kit-stem-construieste-circuite-electrice-thames-kosmos~100139013.jpg|https://cdnmpro.com/708224949/p/raw/2/kit-stem-construieste-circuite-electrice-thames-kosmos~9372.jpg|https://cdnmpro.com/708224949/p/raw/6/kit-stem-construieste-circuite-electrice-thames-kosmos~100139016.jpg,https://www.boribon.ro/cumpara/kit-stem-construieste-circuite-electrice-thames-kosmos-3682,Electricitate pentru începători,10%,"Kit STEM Roboti inteligenti, Genius Toy (4716503041612); Kit STEM Laborator de spionaj: Kit de investigare, Thames & Kosmos (0814743017634); Kit STEM Incarcator frontal de asamblat si manevrat, Fischertechnik (4048962549300)"
HERO,0814743010390,"Kit STEM de construit motoare si generatoare, Thames & Kosmos",Thames & Kosmos,Electronics/Circuits,"6 - 9, 9+",232.0,,34,,,,"circuite electrice,cauză-efect,gândire tehnică,experimente","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM de construit motoare si generatoare Motoarele și generatoarele electrice se regăsesc în nenumărate dispozitive, aparate și vehicule pe care le folosim în fiecare zi. Sunt o tehnologie esențială în lumea noastră modernă. Cu acest kit, puteți efectua 25 de experimente pentru a afla cum un motor electric transformă electricitatea în mișcare și cum un generator electric face exact invers, transformând mișcarea în electricitate. Motorul electric este realizat din plastic transparent pentru a vedea cum funcționează componentele interioare. Configurați motorul să funcționeze pe baterie și aflați cum funcționează un motor. Apoi reconfigurați dispozitivul să funcționeze în sens invers ca un generator electric cu manivelă. Experimentați forța magnetismului și modul în care câmpurile magnetice se leagă de curentul electric. Construiți circuite simple constând din motor sau generator, fire și un bec pentru a afla despre fluxul de electricitate. Aflați despre roți dințate și transmisii și cum funcționează acestea pentru a converti eficient energia cinetică în energie electrică și înapoi. Manualul cu imagini colorate, de 48 de pagini, vă ghidează experimentele cu instrucțiuni pas cu pas. Conține 12 piese, manual cu instrucțiuni și informații. Necesita 2 baterii AA. Vârsta recomandată: +8 ani .AVERTISMENT: Contraindicat copiilor sub 8 ani, conține piese mici, pericol de înghițire. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in China pentru Thames & Kosmos, Anglia. Manual Kit STEM de construit motoare si generatoare - descarca fisier",https://cdnmpro.com/708224949/p/raw/8/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos~9398.jpg,https://cdnmpro.com/708224949/p/raw/8/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos~9398.jpg|https://cdnmpro.com/708224949/p/raw/9/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos~9399.jpg|https://cdnmpro.com/708224949/p/raw/0/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos~9400.jpg|https://cdnmpro.com/708224949/p/raw/1/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos~9401.jpg|https://cdnmpro.com/708224949/p/raw/3/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos~13783.jpg,https://www.boribon.ro/cumpara/kit-stem-de-construit-motoare-si-generatoare-thames-kosmos-3690,Electricitate pentru începători,10%,"Kit STEM Roboti inteligenti Pro, Fischertechnik (4048962492774); Kit STEM Calendarul stiintific de Advent, Thames & Kosmos (0658606787643); Kit STEM de construit si explorat Universal Max, Fischertechnik (4048962516654)"
HERO,0814743017931,"Kit STEM Proiector Planetarium, Thames & Kosmos",Thames & Kosmos,Electronics/Circuits,9+,204.0,,27,,,,"circuite electrice,cauză-efect,gândire tehnică,experimente","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM Proiector Planetarium Transformă-ți dormitorul într-un planetariu!Proiecții pe tavan și pe pereți ale stelelor și constelațiilor, precum și ale unor imagini cu tematică spațială. Acest planetariu sunt de fapt două proiectoare într-unul singur. Primul este o cupolă rotativă care proiectează hărți astronomice exacte ale stelelor. Sunt incluse hărți stelare atât pentru emisfera nordică, cât și pentru cea sudică. Cel de-al doilea proiectează imagini legate de spațiu, inclusiv cele opt planete, opt obiecte spațiale create de om, cum ar fi rachete și sateliți, și opt fenomene extragalactice, cum ar fi nebuloase și galaxii.Utilizați modul de iluminare nocturnă pentru a opri automat proiectorul după 15, 30 sau 60 de minute. Design compact, care economisește spațiul. Poate fi așezat pe o suprafață plană sau atârnat pe un perete. Include un poster educativ color și instrucțiuni.Cupola rotativă cu hărții stelare, emisferele nordică și sudicăLumini LED de lungă duratăMod de iluminare nocturnă și temporizator de oprire automatăLentile focalizabile Compartiment de depozitare pentru discurile cu imagini4 discuri fiecare cu 8 imagini legate de spațiu, 32 de imagini în totalCablu de alimentare USB. Vârsta recomandată: +14 ani.AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici, pericol de înghițire. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs de Thames & Kosmos, Anglia. Manual Kit STEM Proiector Planetarium - descarca fisier",https://cdnmpro.com/708224949/p/raw/7/kit-stem-proiector-planetarium-thames-kosmos~10197.jpg,https://cdnmpro.com/708224949/p/raw/7/kit-stem-proiector-planetarium-thames-kosmos~10197.jpg|https://cdnmpro.com/708224949/p/raw/5/kit-stem-proiector-planetarium-thames-kosmos~10195.jpg|https://cdnmpro.com/708224949/p/raw/6/kit-stem-proiector-planetarium-thames-kosmos~10196.jpg|https://cdnmpro.com/708224949/p/raw/9/kit-stem-proiector-planetarium-thames-kosmos~10199.jpg|https://cdnmpro.com/708224949/p/raw/0/kit-stem-proiector-planetarium-thames-kosmos~10320.jpg,https://www.boribon.ro/cumpara/kit-stem-proiector-planetarium-thames-kosmos-3904,Electricitate pentru începători,10%,"Kit STEM Roboti inteligenti Pro, Fischertechnik (4048962492774); Kit STEM cu modele interactive Universal Pro, Fischertechnik (4048962516647); Kit STEM Principiile mecanicii, Fischertechnik (4048962492767)"
HERO,4048962424645,"Kit STEM E-Tronic Principiile Electronicii, Fischertechnik",Fischertechnik,Electronics/Circuits,9+,937.0,,3,,,,"circuite electrice,cauză-efect,gândire tehnică,experimente","Construiește și programează pas cu pas, cu proiecte clare pentru acasă sau școală.","logică,programare,rezolvare de probleme,creativitate","Kit STEM E-Tronic, Invata elementele de baza ale electronicii prin joaca Kitul E-Tronic permite descoperirea principiilor electronicii prin joacă! Copiii pot construi circuite simple, circuite în serie și paralele, întrerupătoare electronice cu tranzistori, condensatori, rezistențe și LED-uri. Acest kit de construcție îi va învăța principiile de bază, pas cu pas. Modulul electronic, un controler cu 16 programe setate, are două ieșiri de motor, trei intrări analogice pentru senzori și un potențiometru pentru controlul vitezei unui motor. Acest set de construcție poate fi folosit pentru a construi o varietate de modele interesante, de la componente simple la cele complexe, cum ar fi lumini intermitente alternante. Instrucțiuni de asamblare pentru a construi 16 modele. Conține 340 de piese între care 2 butoane, contact Reed, motor XS, modul electronic cu 16 programe fixe, 2 tranzistori, 2 rezistențe, condensator, 2 LED-uri, suport pentru baterie de 9V bloc. Vârsta recomandată: +9 ani. Confecționat din plastic. Conform reglementarilor EN71&ASTM.AVERTISMENT: Contraindicat copiilor sub 3 ani, conține piese mici. Se recomandă supravegherea copilului de către un adult în timpul jocului. Citiți instrucțiunile înainte de utilizare, urmați-le și păstrați-le pentru referință.Produs in Germania de Fischertechnik.",https://cdnmpro.com/708224949/p/raw/5/kit-stem-e-tronic-principiile-electronicii-fischertechnik~12155.jpg,https://cdnmpro.com/708224949/p/raw/5/kit-stem-e-tronic-principiile-electronicii-fischertechnik~12155.jpg|https://cdnmpro.com/708224949/p/raw/6/kit-stem-e-tronic-principiile-electronicii-fischertechnik~12156.jpg|https://cdnmpro.com/708224949/p/raw/7/kit-stem-e-tronic-principiile-electronicii-fischertechnik~12157.jpg|https://cdnmpro.com/708224949/p/raw/8/kit-stem-e-tronic-principiile-electronicii-fischertechnik~12158.jpg|https://cdnmpro.com/708224949/p/raw/9/kit-stem-e-tronic-principiile-electronicii-fischertechnik~12159.jpg,https://www.boribon.ro/cumpara/kit-stem-e-tronic-principiile-electronicii-fischertechnik-4399,Electricitate pentru începători,10%,"Kit STEM Construieste roboti extraterestrii, Genius Toy (4716503074450); Kit STEM Laborator de spionaj: Kit de investigare, Thames & Kosmos (0814743017634); Kit STEM Incarcator frontal de asamblat si manevrat, Fischertechnik (4048962549300)"
